close,閉じる
"* Required Fields","* 必須項目"
Availability,在庫あり
"In stock",在庫あり
"Out of stock",在庫切れ
Qty,個数
"Product Name",商品名
Edit,編集
"1 item","1 商品"
"%1 items","%1 商品"
message,メッセージ
Action,アクション
"Add to Cart",カートに入れる
"Add to Wish List","欲しいものリストに追加"
"Remove This Item",この商品を削除する
"Add to Compare",比較リストに追加
"You added %1 to your shopping cart.","%1 をカートに追加しました"
"Page not found.","ページが見つかりません。"
"The product does not exist.",商品が見つかりません。
"Display item quantities",商品の見積もりを表示
Message,メッセージ
"Remove item",商品を削除
Configure,構成
"Add Locale","ロケール追加"
"Add Date","日付追加"
"Days in Wish List","欲しい物リスト内日付"
"Are you sure you want to remove this item?",このアイテムを削除してもよろしいですか？
"Test Phrase","テストフェーズ"
"Remove Item",商品を削除
"An item option with code %1 already exists.","商品オプションのコード %1 はすでに存在します。"
"View Details",詳細を表示
"Wish List","欲しい物リスト"
Comment,コメント
"Please enter an email address.","eメールアドレスを入力してください"
"Wish List Sharing","ほしい物リストの共有"
"My Wish List","ほしい物リスト"
"%1's Wish List","%1 の欲しい物リスト"
"We can't specify a product.","製品を特定できません"
"%1 has been added to your Wish List. Click <a href=""%2"">here</a> to continue shopping.","%1 は欲しい物リストに追加されました。 <a href=""%2"">ここ</a>をクリックしてお買い物を続けてください。"
"We can't add the item to Wish List right now: %1.","このアイテムをほしい物リストに現在追加できません: %1."
"We can't add the item to Wish List right now.","このアイテムをほしい物リストに現在追加できません。"
"This product(s) is out of stock.","この商品は在庫切れです。"
"We can't add the item to the cart right now.","このアイテムをカートに追加することは現在できません。"
"We can't load the Wish List item right now.","欲しい物リストのアイテムを現在読み込むことができません。"
"We can't configure the product right now.","この製品の設定を現在することができません。"
"The requested cart item doesn't exist.","要求されたカートの商品は存在しません。"
"%1 has been moved to wish list %2","%1 は欲しい物リスト %2　に移動されました。"
"We can't delete the item from Wish List right now because of an error: %1.","エラー: %1　のために現在欲しい物リストからこのアイテムを削除できません。"
"We can't delete the item from the Wish List right now.","このアイテムを欲しい物リストから現在削除できません。"
"Message length must not exceed %1 symbols","メッセージの長さは %1 文字以上でなければなりません。"
"This wish list can be shared %1 more times.","この欲しい物リストは %1 回以上共有できます。"
"Please input a valid email address.",正しいメールアドレスを入力してください。
"Your wish list has been shared.","あなたの欲しい物リストは共有されました。"
"We can't delete item from Wish List right now.","アイテムを欲しい物リストから現在削除できません。"
"Can't save description %1","詳細を保存できません %1"
"Can't update wish list","欲しい物リストをアップデートできません"
"%1 has been updated in your Wish List.","%1 はあなたの欲しい物リストでアップデートされました。"
"We can't update your Wish List right now.","現在あなたの欲しい物リストはアップデートできません。"
"The requested Wish List doesn't exist.","要求された欲しい物リストは存在しません。"
"We can't create the Wish List right now.","現在欲しい物リストを作成できません。"
"Display number of items in wish list","欲しい物リストのアイテム数を表示"
"We can't specify a wish list.","欲しい物リストを指定できません。"
"Cannot specify product.",商品を特定できません。
"Product is not salable.","製品は販売されていません。"
"Invalid item option format.",不正なオプションの形式です。
"%1 for ""%2"".","""%2"" のための %1"
"We couldn't add the following product(s) to the shopping cart: %1.","以下の商品をショッピングカートに追加できませんでした: %1."
"Product(s) %1 have required options. Each product can only be added individually.","%1 の製品は必須のオプションがあります。 各製品は個別に追加されます。"
"We can't update the Wish List right now.","現在欲しい物リストを更新できません。"
"%1 product(s) have been added to shopping cart: %2.","%1 個のアイテムがショッピングカートに追加されました: %2."
Comment:,コメント:
"We cannot retrieve the Wish List.","欲しい物リストは読み込みできませんでした。"
"%1's Wishlist","%1 の欲しい物リスト"
"We can't specify a wish list item.","欲しい物リストのアイテムを特定できません。"
error-message,error-message
LocalizedException,LocalizedException
"Share Wish List","ほしい物リストを共有"
"Add All to Cart",全てカートに入れる
"Update Wish List","ほしい物リストを更新"
"View Product",商品を表示
"This Wish List has no Items","この欲しい物リストにはアイテムはありません。"
"Options Details",オプションの概要
"RSS link to %1's wishlist","%1 の欲しい物リストへのRSSリンク"
"RSS Feed","RSS フィード"
"Wish List is empty now.","欲しい物リストは現在空です。"
"Sharing Information",共有先の情報
"Email addresses, separated by commas","メールアドレスは「,」で区切る必要があります"
"Check here to link an RSS feed to your Wish List.","RSSフィードとあなたの欲しい物リストをリンクするにはここをチェックしてください。"
"Last Added Items",最後に追加した商品
"Go to Wish List","欲しい物リストに行く"
"You have no items in your wish list.","ほしい物リストは空です。"
"Are you sure you want to remove this product from your Wish List?","この商品をあなたの欲しい物リストから削除しますか？"
"Email Sender",メール送信者
"Email Template",メールテンプレート
"General Options",全体のオプション
"Enable RSS",RSSを有効にする
"Share Options",共有オプション
"Max Emails Allowed to be Sent","許可された送信された最大のメール数"
"Email Text Length Limit","Wメールのテキストの長さの最大数"
"My Wish List Link","自分の欲しい物リストのリンク"
"Display Wish List Summary","欲しい物リストのサマリーの表示"
"No Items Found",商品が見つかりませんでした
"User Description",ユーザー概要
"Product Details and Comment",商品の詳細とコメント
"Entity type model '%1' is not found","エンティティタイプモデル '%1' は見つかりません。"
"Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","エンティティタイプモデルは' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType　のインスタンスでなければなりません"
"There are no product types available for export",エクスポートできる商品種別がありません
"Please correct the value for '%s'.","'%s' の値を修正してください。"
"Duplicate Unique Attribute for '%s'","ユニーク属性 '%s' の重複"
"Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","エンティティタイプモデルは ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType　のインスタンスでなければなりません"
"File directory '%1' is not readable.","ファイルディレクトリー '%1' 読み込み可能ではありません。"
"File directory '%1' is not writable.","ファイルディレクトリー '%1' 書き込み可能ではありません。"
"Invalid custom option store.","不正なカスタムオプションストア"
"Invalid custom option type.","不正なカスタムオプションタイプ"
"Empty custom option title.","空のカスタムオプションタイトル"
"Invalid custom option price.","不正なカスタムオプション価格"
"Invalid custom option maximum characters value.","不正なカスタムオプション最大文字数値"
"Invalid custom option sort order.","不正なカスタムオプション並べ替え順"
"Invalid custom option value price.","不正なカスタムオプション価格値"
"Invalid custom option value sort order.","不正なカスタムオプションの値並べかえ順"
"Custom option with such title already declared in source file.","ソースファイルにてそのタイトルのカスタムオプションは宣言されています。"
"There are several existing custom options with such name.","同じ名前のカスタムオプションが既にいくつか存在します。"
"Custom options have different types.","カスタムオプションには異なるタイプがあります。"
"Option entity must have a parent product entity.","オプションエンティティには親プロダクトエンティティがなければなりません。"
"Please correct the parameters.","パラメーターを修正してください。"
"File '%1' was not found or has read restriction.","ファイル '%1' は見つからないか、読み込み制限されています。"
"Invalid domain name: ","不正なドメイン名: "
"Invalid cookie lifetime: ","不正なcookie保存時間: "
"Invalid cookie path","不正なcookieパス"
"We use cookies to make your experience better.","cookieを使うことによって使い勝手がよくなります。"
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","新しいeプライバシーの規定を順守するために、cookieを設定する承諾を求めています。"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">更に詳細</a>."
"Allow Cookies","Cookieを許可"
"Default Cookie Settings","デフォルトのCookie設定"
"Cookie Lifetime",Cookieの有効期限
"Cookie Path",Cookieパス
"Cookie Domain",Cookieドメイン
"Use HTTP Only",HTTPだけ使用可能
"Cookie Restriction Mode",Cookie制限モード
Yes,Yes
No,No
Name,名前
"Insert Variable...",変数の挿入...
Variable,変数
"Custom Variables",カスタム変数
"Add New Variable",新しい変数を追加
"Custom Variable ""%1""","カスタム変数 ""%1"""
"New Custom Variable",新しいカスタム変数
"Variable Code",変数コード
"Variable Name",変数名
"Use Default Variable Values",標準の値を使用
"Variable HTML Value",任意HTMLの値
"Variable Plain Value",変数のもとの値
"You deleted the custom variable.","カスタム変数を削除しました。"
"You saved the custom variable.","カスタム変数を保存しました。"
"Variable Code must be unique.",変数のコードはユニークである必要があります。
"Validation has failed.",認証失敗
"Variable ID",変数ID
Password,パスワード
Required,必須
Title,タイトル
Height,高さ
Width,幅
Regular,普通配達
Documents,ドキュメント
"Unable to retrieve tracking",荷物追跡情報を読み込みできません
Sample,サンプル
"Not Required","必須ではない"
"Empty response",空の返信
Length,長さ
Size,サイズ
Girth,寸法
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","問題が発生しました。 再度お試しになるか我々に連絡をいただければ解決のお手伝いをします。"
"User ID",ユーザーID
"First-Class Mail Large Envelope","ファーストクラス郵便　封筒大"
"First-Class Mail Letter","ファーストクラス郵便　はがき"
"First-Class Mail Parcel","ファーストクラス郵便　小包"
"First-Class Mail Postcards","ファーストクラス郵便　ポストカード"
"Priority Mail",優先メール
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express","優先メールエクスプレス"
"Standard Post","通常配達"
"Media Mail",メディアメール
"Library Mail","図書メール"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Hold For Pickup","Priority Mail Hold For Pickup"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box Hold For Pickup"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box Hold For Pickup"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box Hold For Pickup"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate Envelope Hold For Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate Envelope"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate Envelope Hold For Pickup"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate Envelope"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate Envelope Hold For Pickup"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate Envelope"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A Hold For Pickup"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B Hold For Pickup"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup"
"First-Class Package Service","First-Class Package Service"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail International","Priority Mail International"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"USPS GXG Envelopes","USPS GXG Envelopes"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Package International Service","First-Class Package International Service"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
Letter,手紙
Flat,定額
Parcel,小包
"Flat-Rate Box",定額小包
"Flat-Rate Envelope",定額封筒
Rectangular,長方形
Non-rectangular,非長方形の
Large,ラージ
track_summary,追跡のサマリ
"Service type does not match","サービスタイプが一致しません"
Merchandise,物品
Gift,ギフト
Return,リターン
Other,その他
Debug,デバッグ
"Enabled for Checkout",有効
"Gateway URL",ゲートウェイURL
"Calculate Handling Fee",手数料を計算
"Handling Applied",手数料適用済み
"Handling Fee",手数料
"Allowed Methods",許可する配送方法
"Displayed Error Message",エラーメッセージ表示
"Free Method",フリーメソッド
"Free Shipping Amount Threshold","送料無料額限界値"
"Ship to Applicable Countries",利用可能な国にのみ配送する
"Ship to Specific Countries",特定の国にのみ配送する
"Show Method if Not Applicable",配送方法が利用できない場合でも表示する
"Packages Request Type","パッケージリクエストタイプ"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)",最大積載重量(配送業者にお問い合わせください)
Mode,モード
USPS,USPS
"Secure Gateway URL","安全なGateway URL"
Machinable,マシンナブル
"Provided form does not exist","提供されたフォームは存在しません"
"Incorrect CAPTCHA","不正なCAPTCHAです"
Always,常に
"After number of attempts to login",CAPTCHAを表示するログイン失敗回数
"Incorrect CAPTCHA.",不正なCAPTCHA.
"Please enter the letters from the image","画像にある文字を入力して下さい"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: CAPTCHAは大文字小文字を区別します。"
"Reload captcha",CAPTCHAの再読込
"Please type the letters below",以下に文字を入力してください
CAPTCHA,CAPTCHA
"Enable CAPTCHA in Admin",管理画面でCAPTCHAを有効にする
Font,フォント
Forms,対象フォーム
"Displaying Mode",表示モード
"Number of Unsuccessful Attempts to Login",ログイン失敗回数
"If 0 is specified, CAPTCHA on the Login form will be always available.","もし0が指定された場合, ログインフォーム上のCAPTCHAは常に有効になります。"
"CAPTCHA Timeout (minutes)","CAPTCHA 有効期限 (分)"
"Number of Symbols",文字数
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","多くても8文字を指定してください。 範囲指定が可能です（例：3-5）"
"Symbols Used in CAPTCHA",CAPTCHAで使用する文字
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        　文字(a-z あるいは A-Z) あるいは数字 (0-9) のみこのフィールドでは使用してください。 スペースや他の文字種は使用できません。<br />同じような見た目の文字 (例. ""i"", ""l"", ""1"")の使用は顧客に正しく認識してもらえない可能性があります
                    "
"Case Sensitive",大文字小文字を区別する
"Enable CAPTCHA on Frontend",フロントエンドでCAPTCHAを有効にする
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","""ユーザー作成"" と ""パスワードを忘れた"" のCAPCHAのフォームは選ばれれば常に有効にできます。"
Price,価格
Cancel,キャンセル
From,開始
To,終了
"Percent Discount",割引率
"-- Select --",--選択してください--
Dynamic,可変
Fixed,固定
"Create New Option","新しいオプション作成"
"Bundle Items",セット商品
"Add Products to Option","オプションに商品を追加"
"Delete Option",オプションの削除
"Please enter search conditions to view products.",商品を表示させるための検索条件を指定してください。
ID,ID
SKU,商品番号
"Use Default Value",標準の値を使用
"There is no defined renderer for ""%1"" option type.","""%1"" オプションタイプに定義されたレンダラーはありません。"
"Only implemented for bundle product","バンドル商品にのみ設定可能です"
"Product with specified sku: ""%1"" is not a bundle product","SKUで指定された商品: ""%1""　はバンドル商品ではありません。"
"Bundle product could not contain another composite product","バンドル商品は別のコンポジット商品を含むことが出来ません。"
"Id field of product link is required","IDフィールドのプロダクトリンクは必須です。"
"Can not find product link with id ""%1""","ID ""%1"" のプロダクトリンクは見つかりません。"
"Could not save child: ""%1""","childを保存できませんでした: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","SKUで指定された商品: ""%1"" : すでに製品: ""%2"" にすでにアサインされています。"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","SKUで指定されたChild: ""%1"" すでに商品: ""%2""　にアサインされています。"
"Product with specified sku: %1 is not a bundle product","指定のSKUの商品: %1 はバンドル商品ではありません。"
"Requested bundle option product doesn't exist","要求されたバンドルオプション商品は存在しません"
"Requested option doesn't exist","要求されたオプションは存在しません"
"Cannot delete option with id %1","id %1 のオプションは削除できません"
"Could not save option","オプションを保存できません"
"As Low as",同じかそれ以下
"Price Range",価格範囲
"Please specify product option(s).",商品オプションを指定してください。
"The required options you selected are not available.","あなたが選んだ必須オプションは有効ではありません。"
"Please select all required options.","必須オプションをすべて選択してください。"
N/A,該当無し
Percent,パーセント
Qty:,個数:
"Choose a selection...",選択してください...
"Ship Bundle Items",セット商品の配送方法
Separately,別々
Together,まとめて
"Option Title",オプションのタイトル
"Store View Title",店舗名
"Input Type",入力形式
Position,おすすめ
"There are no products in this option.","このオプションでの製品はありません。"
"New Option","新オプション"
Default,標準
"Price Type",価格タイプ
"Default Quantity","デフォルト数量"
"User Defined","ユーザー定義"
Ordered,注文済
Invoiced,請求済
Shipped,荷送り人
Refunded,返金
Canceled,キャンセル済
"As low as",同じかそれ以下
"Regular Price","通常価格"
"Buy %1 with %2 discount each","%1　を　%2 の各ディスカウントで購入"
"Go back to product details","商品詳細に戻る"
"Customize and Add to Cart","カスタマイズしてカートに追加"
"Your Customization","あなたのカスタマイズ"
Summary,サマリ
"%1 x %2","%1 x %2"
Availability:,在庫状況:
"Customize %1","%1 をカスタマイズ"
"No options of this product are available.",利用可能なオプションがありません。
"Gift Message",ギフトメッセージ
From:,開始:
To:,終了:
Message:,メッセージ:
Subtotal,小計
"Discount Amount",割引価格
"Row Total",小計
"Qty Invoiced",請求済個数
"Qty Shipped",配送数
"Add Products to New Option","新しいオプションに商品追加"
"Add Products to Option ""%1""","オプション ""%1""に商品追加"
"Add Selected Products","選択した商品を追加"
"Web Site","ウェブサイト"
Status,状態
Catalog,カタログ
Actions,アクション
Websites,ウェブサイト
"Attribute Set",属性セット
"Could not rebuild index for undefined product","未定義製品があるため、インデックスを再構築できませんでした"
"Could not rebuild index for empty products array","空の製品配列があるため、インデックスを再構築できませんでした"
"Catalog Price Rules",カタログ価格ルール
"Add New Rule",新規クーポンの追加
"Apply Rules",ルールの反映
"Save and Apply",保存と適用
"Edit Rule '%1'","ルール編集 '%1'"
"New Rule",新しいルール
"Rule Information",クーポン情報
"Update Prices Using the Following Information",以下の情報に基づいて価格を更新する
"By Percentage of the Original Price",元の価格に指定した割引率を値引き
"By Fixed Amount",指定額を割引
"To Percentage of the Original Price",元の価格を指定した割引率の価格に値引き
"To Fixed Amount",指定額へ割引
"Enable Discount to Subproducts",子商品への値引きを許可する
"Stop Further Rules Processing",他のクーポンの適用を行わない
"Conditions (leave blank for all products)",状態(すべての商品では空白に)
"General Information",総合情報
"Rule Name",クーポン名
Description,概要
Active,アクティブ
Inactive,非アクティブ
"Customer Groups",顧客グループ
Priority,優先度
"Catalog Price Rule",カタログ価格ルール
Promotions,プロモーション
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","ルールは変更されましたが未適用です。 カタログにすぐに結果を反映したい場合はルールを適用してください。"
"Unable to apply rules.",ルールを適用できません。
"The rule has been deleted.",クーポンを削除しました。
"We can't delete this rule right now. Please review the log and try again.","現在このルールを削除できません。 ログを再度確認して試して下さい。"
"Unable to find a rule to delete.",削除するクーポンが見つかりません。
"This rule no longer exists.",このルールは存在していません。
"New Catalog Price Rule","新しいカタログ値ルール"
"Edit Rule",ルールの編集
"Wrong rule specified.",不正なクーポンが指定されました
"The rule has been saved.",クーポンを保存しました。
"An error occurred while saving the rule data. Please review the log and try again.",ルールの保存中にエラーが発生しました。ログを確認の上、やり直してください。
Promo,プロモーション
"Update the Product",商品を更新
"Rule price",値引き
"To Fixed Value",固定値
"To Percentage",割合
"By Fixed value",固定値
"By Percentage",固定率
"Update product's %1 %2: %3","商品の %1 %2: %3　更新"
"Conditions Combination",条件の組み合わせ
"Product Attribute",商品属性
"Updated rules applied.","更新したルールが適用されました。"
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled."," ""%2"" 属性に基づく%1のカタログ価格ルールは無効になりました。"
Start,開始
Rule,クーポン名
End,終了
"Catalog Rule Product","カタログルール商品"
"Indexed rule/product association","インデックス化された　ルール/商品 アソシエイション"
"Catalog Product Rule","カタログ商品ルール"
"Indexed product/rule association","インデックス化された　商品/ルール　アソシエイション"
Total,合計
Tax,税
"All Websites",全てのウェブサイト
Website,ウェブサイト
"Excl. Tax",税別
"Incl. Tax",税込
"Add Tax",税を追加
"Delete Tax","税削除"
FPT,FPT
"$attributes must be an array","$attributes はアレイでなくてはなりません"
"We found a duplicate of website, country and state fields for a fixed product tax","ウェブサイト、国、都道府県の固定商品税のフィールド重複を見つけました。"
"Including FPT only",FPT込価格のみ
"Including FPT and FPT description",FPT込とFPT概要
"Excluding FPT, FPT description, final price","FPT抜価格, FPT概要, 合計金額"
"Excluding FPT",商品定額税を除外する
"Fixed Product Tax",商品固定税
"Total incl. tax",税込合計
Country/State,都道府県
"Final Price","最終価格"
"Fixed Product Taxes",商品固定税
"Enable FPT",FPTを有効にする
"Display Prices In Product Lists",商品一覧にFPT額を表示する
"Display Prices On Product View Page",商品画面でFPT額を表示する
"Display Prices In Sales Modules",SalesモジュールでFPT額を表示する
"Display Prices In Emails",メールにFPT額を記載する
"Apply Tax To FPT","FPTに税を適用"
"Include FPT In Subtotal",小計にFPTを含める
"Create Permanent Redirect for old URL",古いURLに対する恒久的なリダイレクトを作成する
"Category URL Suffix",カテゴリURL拡張子
"You need to refresh the cache.","cacheを更新する必要があります"
"Product URL Suffix",商品URL拡張子
"Use Categories Path for Product URLs",商品URLにカテゴリパスを使用する
"Create Permanent Redirect for URLs if URL Key Changed",URLが変更されたら恒久的なリダイレクト設定を作成する
Email,Eメール
Submit,送信
"Phone Number",電話番号
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","お問い合わせありがとうございます。すぐにお返事をさせていただきます。"
"We can't process your request right now. Sorry, that's all we know.","現在要求にお答えできません。申し訳ありません。"
"Write Us","ご連絡ください"
"Jot us a note and we’ll get back to you as quickly as possible.","お問い合わせいただければ、可能な限り早くお返事させていただきます。"
"What’s on your mind?","お困りでしょうか？"
Contacts,コンタクト
